"","Target","ID","Date","flag","User","Text"
"1033643",4,1955835450,"Thu May 28 20:42:19 PDT 2009","NO_QUERY","Lemeus19","OOOH!  Love &amp; Theft new video on my tv.  HEY STEPHEN! "
"715496",0,2259434802,"Sat Jun 20 17:34:39 PDT 2009","NO_QUERY","my_sweet_art","@Ryanandy yea like break and enter! yea i could go for seeing UP tonight!! i'm bored "
"12893",0,1552027066,"Sat Apr 18 10:35:44 PDT 2009","NO_QUERY","ErinSemet","Stupid back robbery in Vancouver is keeping our news cameras away.  #webraising"
"44085",0,1676753215,"Fri May 01 23:04:29 PDT 2009","NO_QUERY","leewaters","@GrrrlRomeo Hearing her dismiss it like it was a robbery gone wrong: I felt like she was stomping on all of us, on me, on him again. "
"69929",0,1693478859,"Sun May 03 22:40:47 PDT 2009","NO_QUERY","Metal_Ethan","@killer_tofu holy shit, $8.10 for a sandwich? HIGHWAY ROBBERY "
"149844",0,1883555053,"Fri May 22 08:44:16 PDT 2009","NO_QUERY","trungh","Mourning the loss of my favourite umbrella this week, only to loose my nice replacement at the bier cafe. Robbery victims are real! "
"181027",0,1966741146,"Fri May 29 18:18:53 PDT 2009","NO_QUERY","djsnyder","@sandwiched Hmmm... I can't think of a good situation for that scenario... witness protection, rent evaders, home foreclosure, robbery   "
"235134",0,1979724224,"Sun May 31 04:15:00 PDT 2009","NO_QUERY","joyanne","@dawnell dunno if today's was an actual holdup - some ppl tried to rob the bank is all i know.but yeah recent M&amp;B robbery was a holdup "
"285783",0,1993706384,"Mon Jun 01 10:48:16 PDT 2009","NO_QUERY","philiphodgen","The old timers would tell me &quot;Your best thinking got you here.&quot;  Lying on the street, wounded, failed bank robbery = best thinking? "
"287003",0,1994063594,"Mon Jun 01 11:21:21 PDT 2009","NO_QUERY","Xboxking","A robbery during E3? What the Hell, let's call da cops "
"360668",0,2046501331,"Fri Jun 05 12:16:16 PDT 2009","NO_QUERY","aktoman","@mrclarkie So it wasn't a bungled robbery then "
"373018",0,2050904076,"Fri Jun 05 19:30:15 PDT 2009","NO_QUERY","krispiexo","robbery at work last night. going in tmrw to help out. why must there be bad people? "
"404961",0,2058550613,"Sat Jun 06 15:09:51 PDT 2009","NO_QUERY","scottglasser","Deli customer killed during robbery in Schenectady http://bit.ly/EhwC4 (via @timesunion) // Saw the search chopper and wondered. So sad "
"480965",0,2179451284,"Mon Jun 15 09:07:15 PDT 2009","NO_QUERY","abellwillring","It's apparently over 30 quid to ship one of the records by themselves... come on @oasis, that is highway robbery. "
"502989",0,2187703801,"Mon Jun 15 20:40:41 PDT 2009","NO_QUERY","SimplyKia","so this must have been the worst day ever i found out my great aunt died last nite and my dumb ass cousin gets locked up 4 armed robbery "
"534368",0,2197502166,"Tue Jun 16 13:52:09 PDT 2009","NO_QUERY","LalitPatel","there was a robbery at my home today, lost a handycam "
"561064",0,2205334562,"Wed Jun 17 04:30:41 PDT 2009","NO_QUERY","itsconnorrr","@_TomGates Oh no  £19 for a new pair from apple too. Daylight robbery!"
"635633",0,2233680849,"Thu Jun 18 21:43:55 PDT 2009","NO_QUERY","Jessaminute","Restless exhaustion has taken over mind and body. Armed robbery in Berwyn. Silver handgun.  I worry."
"644029",0,2235923353,"Fri Jun 19 02:24:54 PDT 2009","NO_QUERY","mike_online","@ABSCBNNews BANK ROBBERY ON GOING fronting Elizabeth Sch., BF Resort Vill., Las Pinas City! --just passed thru there, traffic blocked ! "
"698269",0,2254070842,"Sat Jun 20 09:10:54 PDT 2009","NO_QUERY","Perignonic","@klvn89 eeekkkss..... daylight robbery... do you think they sell at this price in London?? "
"798317",0,2328497855,"Thu Jun 25 09:39:11 PDT 2009","NO_QUERY","ShortyTee","@KevinSwitzer Sunshine Savings Bank (new bank next to Publix @ Lake Ella) got robbed. Guess the weekly bank robbery quota has been met.  "
"841632",4,1563512230,"Sun Apr 19 23:07:14 PDT 2009","NO_QUERY","zacparker","@oscargodson $250/ins is highway robbery! time to get yourself a wagon. Perhaps a Jetta TDI. Not so sporty, and easy on the MPG "
"927598",4,1759238674,"Sun May 10 18:46:25 PDT 2009","NO_QUERY","SophiaRae","@Graciep00 Ohh, yeahh that's what I figured. I just thought the robbery was so random regarding the divorce lmaoo. Thanks "
"28230",0,1559573590,"Sun Apr 19 11:29:49 PDT 2009","NO_QUERY","TaraMcGoo","loved her horse ride - being assaulted by stable boy not much "
"66024",0,1691299974,"Sun May 03 17:33:06 PDT 2009","NO_QUERY","haneul","being assaulted by a moth and i've just slapped myself thinking it was on my cheek. it wasn't "
"79438",0,1751842519,"Sat May 09 20:24:39 PDT 2009","NO_QUERY","RickShameless","@AshleyTaylor_x3 Ha, she's the one that needs to be good to me, she verbally and physically assaults me on a regular basis "
"112561",0,1825501116,"Sun May 17 05:55:31 PDT 2009","NO_QUERY","anbudan_BALA","HT Channel News: 25000 SL Tamils lie injured in NFZ w/o medical care and food. Thousands died in the final assault by SL army "
"124175",0,1834057073,"Mon May 18 01:27:54 PDT 2009","NO_QUERY","reijin64","got assaulted in the eye today. By his own antibiotics. That'll teach me to try and catch them without glasses. "
"136465",0,1880101624,"Fri May 22 00:06:13 PDT 2009","NO_QUERY","paulney","Can't believe #YEG made the front page of Digg! Too bad it was for girls pretending to be sexually assaulted  Sick story. http://kl.am/lqr"
"174685",0,1964602289,"Fri May 29 14:30:03 PDT 2009","NO_QUERY","mlmanley","AP: North Korea could opt for devastating land assault... http://tinyurl.com/nmg9ht (via @Drudge_Report) Scary talk to say the least.  mm"
"189226",0,1969079481,"Fri May 29 22:58:46 PDT 2009","NO_QUERY","naoreds174","Just watched muni bus driver verbally assault a nice elderly lady for no good reason "
"195408",0,1970495928,"Sat May 30 04:05:53 PDT 2009","NO_QUERY","Dutchrudder","Kiddies assault course ,, u know I'm gonna be on it after a few beers!! They all cumin at 2 !!! Why me  http://twitpic.com/68zs3"
"202474",0,1972135988,"Sat May 30 08:38:01 PDT 2009","NO_QUERY","crys_","i'm back! how's the #marsiscoming assault going? i see we dropped off the trending topics again. "
"202600",0,1972166409,"Sat May 30 08:41:47 PDT 2009","NO_QUERY","Smiley15","i think chris brown's career might be over   hes got another law suit on his hands for assaulting someone else now."
"325471",0,2007348113,"Tue Jun 02 12:30:37 PDT 2009","NO_QUERY","PPD3066","26-year-old Jose Carrasquillo tied to a dirty backyard where a child was sadistically assaulted in philly, Help Police find him, Please! "
"357046",0,2044498624,"Fri Jun 05 09:26:51 PDT 2009","NO_QUERY","DTownPistonsfan","is assaulting Craigslist with ads begging 4 photography work. No luck so far.  Did get an invite to the Nikon D90 group on Flickr tho!"
"358368",0,2045242048,"Fri Jun 05 10:26:36 PDT 2009","NO_QUERY","messierobjects","@VerticalAssault WHAT HAPPENED?! "
"375311",0,2051428138,"Fri Jun 05 21:59:56 PDT 2009","NO_QUERY","AnEffingLegend","@kirstiealley - Man, the things I could tell you from personal expierence re: sexual perdators &amp; sexual assault. Holy shit. They are free "
"393877",0,2055503426,"Sat Jun 06 09:26:11 PDT 2009","NO_QUERY","MatteoScavo","HOLY CROW!!...who knew that a TTC employee would sexually assault someone on the TTC...people these days "
"394133",0,2055565572,"Sat Jun 06 09:33:01 PDT 2009","NO_QUERY","pappe_it_is","Aus goes down to Gayle assault.. wasnt able to watch the match  #wt20"
"394813",0,2055722788,"Sat Jun 06 09:50:17 PDT 2009","NO_QUERY","BethNutters","just got sexually assaulted by a 150lb pit bull - i'm going to need to speak to a grief counselor because i feel violated. ewwwwww "
"395763",0,2056136945,"Sat Jun 06 10:35:36 PDT 2009","NO_QUERY","fuchsiarascal","so my sexual assault victim from last week didn't come in for her counseling today because someone broke into her home and beat her up "
"451709",0,2069838651,"Sun Jun 07 16:37:14 PDT 2009","NO_QUERY","injenious","Geez. Listening to news. World sounds mean today. Home invasion last night in Cannington. They knocked on door b4 assaulting &amp; stealing "
"505782",0,2188479339,"Mon Jun 15 21:58:36 PDT 2009","NO_QUERY","bradenunruh","Trying to to assault the annoying christian across the table.  Leaving London for dover. "
"580364",0,2213893285,"Wed Jun 17 15:59:24 PDT 2009","NO_QUERY","LeanneBeesley","shit, now a 2nd close friend has been sexually assaulted on the paris metro.... stay away from empty carriages, even in day time "
"634988",0,2233474886,"Thu Jun 18 21:24:43 PDT 2009","NO_QUERY","Jakermeister","@sugarassaultme No  I need to! Too bad you didn't hitRECord while you were in the theatre and caught the whole movie on vid for me lol jk"
"656981",0,2240787120,"Fri Jun 19 10:09:43 PDT 2009","NO_QUERY","enflmdphnx","3 gay men were assaulted in a nearby town this morning (hate crime)  so sad. I wish I could hug them."
"666006",0,2245128910,"Fri Jun 19 15:41:46 PDT 2009","NO_QUERY","messierobjects","@verticalassault No furry boots or hat!  but easier than blue moon i think. Well see"
"752075",0,2286336742,"Mon Jun 22 16:18:30 PDT 2009","NO_QUERY","loudblackgirl","i'm concernicus that a fake celebrity can tweet a lie that he was assaulted by an actual celebrity and that it all makes the news... "
"754734",0,2288090137,"Mon Jun 22 18:42:20 PDT 2009","NO_QUERY","kylereilly","Poor Perez Hilton   Here is a link to his video about the assault http://bit.ly/ERAIc"
"769902",0,2301807510,"Tue Jun 23 15:56:23 PDT 2009","NO_QUERY","zoejrobinson","Thanks to an assault 20 years ago, I have a barometer in my finger. The weather is making it ache like mad. "
"777926",0,2322543017,"Wed Jun 24 22:48:25 PDT 2009","NO_QUERY","christystorck","@perezhilton But it's good that you apologized.  I'm sorry that you were physically assaulted.  "
"787516",0,2324917080,"Thu Jun 25 04:21:05 PDT 2009","NO_QUERY","JTbangalore","Another transatlantic assault on English  http://bit.ly/8DAn2"
"798183",0,2328445984,"Thu Jun 25 09:35:25 PDT 2009","NO_QUERY","Dan2k3k4","Listening to Chris Clark - Growls Garden, while downloading the Armed Assault 2 PC Demo. Its 2.8 GB big &amp; dling @ 80 kbps  only 10hrs 2 go"
"805465",4,1468669356,"Tue Apr 07 03:03:52 PDT 2009","NO_QUERY","PRMurphy147","@ssbohio Hmmm. Interesting thought. Would you start with semi-automatics? Which ones are the assault vehicles? What about hi-capacity? "
"820463",4,1553739599,"Sat Apr 18 15:04:52 PDT 2009","NO_QUERY","EmmaMcEvoy","was ment to be a really productive day... guess not! I did assault my hallway with post it notes though "
"841060",4,1559971086,"Sun Apr 19 12:31:00 PDT 2009","NO_QUERY","MandyIsMyHero","I just ordered The Chronicles of Riddick: Assault on Dark Athena for 360. Now let's see if I actually sit down and play it this century.  "
"883602",4,1686155425,"Sun May 03 04:03:11 PDT 2009","NO_QUERY","contezza_annie","@Selfassault geeez, i guess i should move, though your comment below the vid made it all better  i'm going for a walk! lots of love!"
"887920",4,1687126521,"Sun May 03 07:50:37 PDT 2009","NO_QUERY","JacobKosky","is watching South Park. Looking foward to seeing the Sasquatch Assault with Don and Murph "
"904787",4,1694929224,"Mon May 04 04:38:17 PDT 2009","NO_QUERY","SukiScience","Come on all you lovely fans Number 14 in the Local pop Charts  Let launch an assault on the number 1 slot!!! www,reverbnation.com/suki ..."
"970747",4,1828064839,"Sun May 17 12:01:02 PDT 2009","NO_QUERY","staindlife7","@laurenself have fun....if anyone assaults u again kick them in their taint "
"1839",0,1468245379,"Tue Apr 07 00:31:01 PDT 2009","NO_QUERY","Jumile","@ZappoMan oh, your tweet was about weapons? That's covered by Pandora's Box - can't uninvent it, leaving us all with MAD "
"7831",0,1469958616,"Tue Apr 07 07:55:48 PDT 2009","NO_QUERY","Artheido","Spent like an hour on MyBrute trying out making different characters (I made 26)... Leveled them up to 2... Still no wolf or good weapon "
"37316",0,1572932169,"Mon Apr 20 23:04:25 PDT 2009","NO_QUERY","jaredavery","Holy crap I'm lucky I got my sword when I did because the Weapon Baron is now gone. Damn and I wanted to get some more things from him. "
"45870",0,1677266933,"Sat May 02 01:13:03 PDT 2009","NO_QUERY","chipototle","Hey @PILLOWTA1K Weapon XI wasnt Deadpool it isnt even played by Ryan, it's some dude name Scott Adkins..strange. The movie was so off "
"56656",0,1685463624,"Sun May 03 00:30:15 PDT 2009","NO_QUERY","EricMerrill","@theweaponislove  you need ibuprofen, oreos and an aloe vera plant."
"78200",0,1751238134,"Sat May 09 18:59:12 PDT 2009","NO_QUERY","JAYSMOOTH788","Looking at lethal weapon and I can't even call my dad to tell him its on hard times "
"99132",0,1793522769,"Thu May 14 03:01:08 PDT 2009","NO_QUERY","PrettySprinkles","Do not use your kids as weapons to score points off your ex. It ain't right "
"106449",0,1823540406,"Sat May 16 22:14:55 PDT 2009","NO_QUERY","evilpuppets","http://twitpic.com/5cfyw - ZombieVille USA high score so far. I fucked up while playing... I had all weapons acquired too. "
"109367",0,1824540449,"Sun May 17 01:49:45 PDT 2009","NO_QUERY","daveg38","@tb78 they just want u to arrive, uniformed, show of HM navys weaponry, service the fleet and depart  Mind u, sounds ok LOL can  I sign up"
"138912",0,1880678195,"Fri May 22 02:06:06 PDT 2009","NO_QUERY","M_G1","Still disturbed by what i saw last night on My Weapon Is A Dog  Something seriously needs to be done about this and fast!!"
"145342",0,1882190204,"Fri May 22 06:24:32 PDT 2009","NO_QUERY","MrNokill","oh no they made TF2 random with new weapons "
"146256",0,1882435244,"Fri May 22 06:52:04 PDT 2009","NO_QUERY","marramgrass","@scribb 3 Like Home is 3's secret weapon of awesomeness "
"162128",0,1957476852,"Fri May 29 00:37:22 PDT 2009","NO_QUERY","kk","not to be too macabre but its hard to believe we dropped a real nuclear weapon on real japanese humans.  http://ow.ly/9NRu #warisfucked"
"177894",0,1965826251,"Fri May 29 16:36:50 PDT 2009","NO_QUERY","jacobwakeup","Ahh! Members of the toasters and @dubisaweapon playing with void union! Sick! I missed @royalcityriot and we are the union "
"187560",0,1968675490,"Fri May 29 21:57:27 PDT 2009","NO_QUERY","EricMerrill","@theweaponislove we told you this "
"195722",0,1970556338,"Sat May 30 04:20:23 PDT 2009","NO_QUERY","sabotah","@mr_snarf I find that the IRL RPG seems to lack cool looking glowing weapons too "
"198655",0,1971269158,"Sat May 30 06:40:49 PDT 2009","NO_QUERY","Sirjolt","@UltimateHurl Why are you in an achievement idle server now that the weapons are unlockable normalwise? "
"253186",0,1983922172,"Sun May 31 14:05:44 PDT 2009","NO_QUERY","KimberlySaia","about spymaster twitter game..i was hoping 2 see ppl refusing 2 use weapons/assassinate.  "
"258817",0,1985277699,"Sun May 31 16:47:28 PDT 2009","NO_QUERY","setv","Wisdom is better than weapons of war. ~ Ecclesiastes 9:18 //obviously, Republican christian conservakooks skipped that one.  "
"263686",0,1986619886,"Sun May 31 19:05:17 PDT 2009","NO_QUERY","ryanmwilson","armourer costs $700 a day + $100 for each weapon. FUCCCCCCCCCKKKKK too expensive "
"263734",0,1986636705,"Sun May 31 19:06:47 PDT 2009","NO_QUERY","Noodlzz","well its been 48 hrs and my weapons have not been returned .. happy birthday to me "
"264400",0,1986855412,"Sun May 31 19:24:52 PDT 2009","NO_QUERY","SteelCityAce","@majornelson what's up with a riot shield in Modern Warfare 2?! I think they are just trying to use weapons from other games as ideas but "
"282511",0,1992645208,"Mon Jun 01 09:05:29 PDT 2009","NO_QUERY","Angry_Pangolin","@mvdn777 like chris rock? says guns are for pussies real men stab! still not that gunny over here. also buy dogs to use as weapons "
"301128",0,1998563532,"Mon Jun 01 18:45:30 PDT 2009","NO_QUERY","DJrabidmonk","@absoluteHKM I need both weapons and training.  But I also need lots of money "
"302177",0,1998877546,"Mon Jun 01 19:16:17 PDT 2009","NO_QUERY","Pillshere","Left 4 dead 2 maybe abit to soon. looks cool though.Melee weapons always welcome. Miss the old survivors "
"306726",0,2000309357,"Mon Jun 01 21:50:27 PDT 2009","NO_QUERY","denajporter","@theweaponislove I'm seeing Up. "
"308606",0,2000717377,"Mon Jun 01 22:46:53 PDT 2009","NO_QUERY","MatTadH81","@SnakeEyes5 true it was an overused weapon of choice to annoy, but it was also useful to get campers.  The pro and cons of it are large "
"309217",0,2000859102,"Mon Jun 01 23:09:15 PDT 2009","NO_QUERY","psyq123","I get jealous of EverQuest 2 players (shinyglowyweapons!) until I notice they all look like waxen corpses. No wonder they wear helmets "
"310456",0,2001105548,"Mon Jun 01 23:51:27 PDT 2009","NO_QUERY","viramokoginta","dont have enuf money to buy weapons "
"335908",0,2013891272,"Tue Jun 02 23:51:57 PDT 2009","NO_QUERY","nick1975","I have weapons grade hayfever "
"349306",0,2017121081,"Wed Jun 03 07:53:37 PDT 2009","NO_QUERY","carollferraz","I have a cold now, Dougie's blame lol I don't have any weapon  haha pic kudos: @izzyweib &amp; me"
"359353",0,2045729111,"Fri Jun 05 11:09:01 PDT 2009","NO_QUERY","Alcedine","I really wish i could go to Aikido of Modesto's &quot;Weapons Training by the River&quot; this weekend! just bad timing  hopefully they do it again!"
"372170",0,2050640769,"Fri Jun 05 19:02:05 PDT 2009","NO_QUERY","SINI5TAR","Watching Lethal Weapon... edited. "
"397526",0,2056650808,"Sat Jun 06 11:32:19 PDT 2009","NO_QUERY","dpitlock","Laying down before I have to go to work. Worked on a new form and weapon form today.  Foot still hurts "
"397716",0,2056700234,"Sat Jun 06 11:37:50 PDT 2009","NO_QUERY","Sandra86says","I have a sore throat! Time to buy my secret weapon that is sucrets!!! Those always numb my throat  but other than that fml "
"425355",0,2063308238,"Sun Jun 07 02:08:30 PDT 2009","NO_QUERY","sai_ANN","@williamcheung88 Lethal weapon was closed!  ftl!"
"458326",0,2071861860,"Sun Jun 07 20:02:04 PDT 2009","NO_QUERY","capitaln","@Vertago1 Here's a nice one for you @beanieville  took a rack of my weapons  #spyring27"
"469359",0,2176193355,"Mon Jun 15 03:10:54 PDT 2009","NO_QUERY","Arlyonka","Women have 2 weapons: mascara and tears. Apparently we can't use both at the same time "
"472734",0,2176906715,"Mon Jun 15 05:01:46 PDT 2009","NO_QUERY","ugodaniels","The weapons are OUT in Iran | Be safe ma dear friends  -  http://twitpic.com/7gilr"
"476873",0,2178008196,"Mon Jun 15 07:03:20 PDT 2009","NO_QUERY","imabum","Ow @-)  scotch tape is a deadly weapon afterall :|"
"479941",0,2179070404,"Mon Jun 15 08:36:08 PDT 2009","NO_QUERY","ArielBH","@lazycoder Just imagine this country getting hand on Nuclear weapons, North Korea all over again. "
"484093",0,2180623864,"Mon Jun 15 10:43:20 PDT 2009","NO_QUERY","esinelnyi","Rarely blown this is one of those occassions  wish I had a sleeping cocktail. And my weapons of choice for when I wake."
"519920",0,2191941541,"Tue Jun 16 06:14:26 PDT 2009","NO_QUERY","monksnothome","Shoot someone in cold blood.Texas understands. Own a blowgun and you're in BIG TROUBLE. I don't get it? It's my favorite weapon. "
"522321",0,2192719729,"Tue Jun 16 07:27:08 PDT 2009","NO_QUERY","skyladawn","You know, I shouldn't have to educate the Dutch on Lethal Weapon JUST to get one of my jokes...  "
"546914",0,2201909066,"Tue Jun 16 20:57:13 PDT 2009","NO_QUERY","havengirl97","hates Korea for its stupid nuclear weapons . What are they up to ? Starting World War 3 ???? "
"556770",0,2204362374,"Wed Jun 17 02:01:04 PDT 2009","NO_QUERY","RobHopcott","Imagine Ayatollah Khamenei &amp; Ahmadinejad with nuclear weapons  Iranian democrats must prevail #iranelection #tehran #iranians #iran"
"556972",0,2204407154,"Wed Jun 17 02:08:08 PDT 2009","NO_QUERY","TheFakeJoeBiden","#EFCA Now! Imagine Ayatollah Khamenei &amp; Ahmadinejad with nuclear weapons  Iranian democrats must pr.. http://tinyurl.com/l62qmt"
"565321",0,2206474873,"Wed Jun 17 06:36:01 PDT 2009","NO_QUERY","Lola_Pie","@WeaponX_PHIQ dang i wasn't on!!! just now seein this message... "
"598869",0,2220397292,"Thu Jun 18 02:58:28 PDT 2009","NO_QUERY","jbach220","Cleaning weapons at work.. No lunch today "
"631705",0,2232421514,"Thu Jun 18 19:53:27 PDT 2009","NO_QUERY","ewenrick","@theweaponislove my brother sold his for 50    and it was working perfectly!"
"651563",0,2237930326,"Fri Jun 19 06:34:31 PDT 2009","NO_QUERY","terriaminute","@alexxipharmakon  sex should not be used as a weapon. Sympathies."
"660790",0,2242836384,"Fri Jun 19 12:41:34 PDT 2009","NO_QUERY","kittyalague","Great, the USS John McCain is headed towards N Korea cause of a flagged NK Ship that may or may not have bad weapons. "
"673103",0,2247388517,"Fri Jun 19 19:01:24 PDT 2009","NO_QUERY","TakuanDaikon","Why is it so danged hard to fin a good tutorial for creating a melee weapon for #crysis?  That's really a bummer for me "
"681744",0,2249816387,"Fri Jun 19 23:04:52 PDT 2009","NO_QUERY","shivashira","i hate unlocking weapons "
"691960",0,2252371365,"Sat Jun 20 06:07:07 PDT 2009","NO_QUERY","Jewelz3920","@secret_weapon84    ... I guess I'll like that SOMEDAY, but not now! no wonder i can't find a decent guy, they all think i'm 16!"
"695375",0,2253235580,"Sat Jun 20 07:49:29 PDT 2009","NO_QUERY","Jezign","Man I Wanna Go See Disturbed Again `Music As A Weapon IV` Is Awesome I Heard "
"704667",0,2256119690,"Sat Jun 20 12:17:22 PDT 2009","NO_QUERY","Persian_AT","Iranians need support... they need guns. they have no weapon to stand infront of them.   #iranians #iran9 #tehran"
"727340",0,2262800764,"Sat Jun 20 23:15:45 PDT 2009","NO_QUERY","MiseryXchord","I think I need to get more concealed weapons "
"727871",0,2262930448,"Sat Jun 20 23:33:14 PDT 2009","NO_QUERY","WiiRoc_RozWorld","Happy fathers day to all Dads! But especially dads who'd love to be a better dad but have a baby mama using the child as a weapon! So Sad "
"732579",0,2264100433,"Sun Jun 21 02:47:03 PDT 2009","NO_QUERY","lasiaf","http://twitpic.com/7ztgw - apple doesnt want you to manufature or produce missile, nuclear/ chemical/ biological weapons with itunes "
